TestID,SystemOutput
0,GENHX
1,FAM/SOCHX
2,GENHX
3,ALLERGY
4,MEDICATIONS
5,PASTMEDICALHX
6,ROS
7,PASTSURGICAL
8,GENHX
9,PASTMEDICALHX
10,GENHX
11,FAM/SOCHX
12,FAM/SOCHX
13,MEDICATIONS
14,FAM/SOCHX
15,GYNHX
16,GENHX
17,EDCOURSE
18,PASTMEDICALHX
19,DIAGNOSIS
20,IMMUNIZATIONS
21,PASTSURGICAL
22,PASTMEDICALHX
23,CC
24,GENHX
25,FAM/SOCHX
26,FAM/SOCHX
27,EXAM
28,CC
29,FAM/SOCHX
30,ALLERGY
31,MEDICATIONS
32,CC
33,PASTSURGICAL
34,PASTSURGICAL
35,FAM/SOCHX
36,ROS
37,FAM/SOCHX
38,CC
39,PASTMEDICALHX
40,MEDICATIONS
41,CC
42,FAM/SOCHX
43,FAM/SOCHX
44,MEDICATIONS
45,FAM/SOCHX
46,GENHX
47,CC
48,PASTMEDICALHX
49,FAM/SOCHX
50,GENHX
51,ASSESSMENT
52,GENHX
53,GENHX
54,FAM/SOCHX
55,FAM/SOCHX
56,CC
57,CC
58,FAM/SOCHX
59,ALLERGY
60,FAM/SOCHX
61,GENHX
62,CC
63,GENHX
64,ASSESSMENT
65,GENHX
66,GENHX
67,GENHX
68,CC
69,GENHX
70,PLAN
71,FAM/SOCHX
72,GENHX
73,FAM/SOCHX
74,MEDICATIONS
75,GENHX
76,PASTMEDICALHX
77,ASSESSMENT
78,GENHX
79,FAM/SOCHX
80,GENHX
81,GENHX
82,ROS
83,FAM/SOCHX
84,GENHX
85,GENHX
86,FAM/SOCHX
87,FAM/SOCHX
88,DISPOSITION
89,GENHX
90,FAM/SOCHX
91,EXAM
92,FAM/SOCHX
93,FAM/SOCHX
94,GENHX
95,GENHX
96,GENHX
97,GENHX
98,GENHX
99,GENHX
100,PLAN
101,GENHX
102,PASTSURGICAL
103,FAM/SOCHX
104,PASTMEDICALHX
105,GENHX
106,FAM/SOCHX
107,GENHX
108,EXAM
109,EXAM
110,ALLERGY
111,ALLERGY
112,GENHX
113,FAM/SOCHX
114,DISPOSITION
115,MEDICATIONS
116,CC
117,GENHX
118,FAM/SOCHX
119,FAM/SOCHX
120,GENHX
121,FAM/SOCHX
122,PASTMEDICALHX
123,GENHX
124,GENHX
125,GENHX
126,PASTMEDICALHX
127,FAM/SOCHX
128,FAM/SOCHX
129,GENHX
130,ALLERGY
131,PASTMEDICALHX
132,CC
133,PLAN
134,FAM/SOCHX
135,GENHX
136,GENHX
137,PASTMEDICALHX
138,ROS
139,ALLERGY
140,GENHX
141,PASTMEDICALHX
142,FAM/SOCHX
143,GENHX
144,ROS
145,GENHX
146,MEDICATIONS
147,GENHX
148,FAM/SOCHX
149,CC
150,FAM/SOCHX
151,PASTMEDICALHX
152,PASTMEDICALHX
153,ALLERGY
154,MEDICATIONS
155,PASTMEDICALHX
156,CC
157,MEDICATIONS
158,GENHX
159,GENHX
160,PASTSURGICAL
161,FAM/SOCHX
162,GENHX
163,MEDICATIONS
164,PASTMEDICALHX
165,GENHX
166,DIAGNOSIS
167,DIAGNOSIS
168,ROS
169,FAM/SOCHX
170,PASTMEDICALHX
171,FAM/SOCHX
172,PASTSURGICAL
173,PASTSURGICAL
174,FAM/SOCHX
175,PASTMEDICALHX
176,PASTMEDICALHX
177,FAM/SOCHX
178,GENHX
179,FAM/SOCHX
180,MEDICATIONS
181,ROS
182,CC
183,PASTMEDICALHX
184,FAM/SOCHX
185,GENHX
186,FAM/SOCHX
187,PASTSURGICAL
188,ALLERGY
189,FAM/SOCHX
190,PASTMEDICALHX
191,FAM/SOCHX
192,MEDICATIONS
193,PASTMEDICALHX
194,DISPOSITION
195,GENHX
196,ROS
197,FAM/SOCHX
198,PASTSURGICAL
199,FAM/SOCHX
